"epoch","clip_nodecay_infoNCE_8_rand_augmix_000030 - _step","clip_nodecay_infoNCE_8_rand_augmix_000030 - _step__MIN","clip_nodecay_infoNCE_8_rand_augmix_000030 - _step__MAX","Accuracy","clip_nodecay_infoNCE_8_rand_augmix_000030 - valid_MulticlassAccuracy__MIN","clip_nodecay_infoNCE_8_rand_augmix_000030 - valid_MulticlassAccuracy__MAX"
"0","6","6","6","0.7055346965789795","0.7055346965789795","0.7055346965789795"
"1","14","14","14","0.7350503206253052","0.7350503206253052","0.7350503206253052"
"2","22","22","22","0.7522993087768555","0.7522993087768555","0.7522993087768555"
"3","30","30","30","0.7602145671844482","0.7602145671844482","0.7602145671844482"
"4","38","38","38","0.7479894161224365","0.7479894161224365","0.7479894161224365"
"5","46","46","46","0.7613269090652466","0.7613269090652466","0.7613269090652466"
"6","54","54","54","0.7634071111679077","0.7634071111679077","0.7634071111679077"
"7","62","62","62","0.767612636089325","0.767612636089325","0.767612636089325"
"8","70","70","70","0.7713930606842041","0.7713930606842041","0.7713930606842041"
"9","78","78","78","0.7697573900222778","0.7697573900222778","0.7697573900222778"
"10","86","86","86","0.7812814116477966","0.7812814116477966","0.7812814116477966"
"11","94","94","94","0.7772745490074158","0.7772745490074158","0.7772745490074158"
"12","104","104","104","0.7700620293617249","0.7700620293617249","0.7700620293617249"
"13","112","112","112","0.7794278860092163","0.7794278860092163","0.7794278860092163"
"14","120","120","120","0.7781997919082642","0.7781997919082642","0.7781997919082642"
"15","128","128","128","0.7691577672958374","0.7691577672958374","0.7691577672958374"
"16","162","138","186","0.7676031589508057","0.7676031589508057","0.7676031589508057"
"17","170","146","194","0.7719271183013916","0.7719271183013916","0.7719271183013916"
"18","178","154","202","0.7651270627975464","0.7651270627975464","0.7651270627975464"
"19","210","210","210","0.7676106691360474","0.7676106691360474","0.7676106691360474"
"20","218","218","218","0.7731809616088867","0.7731809616088867","0.7731809616088867"
"21","226","226","226","0.7794369459152222","0.7794369459152222","0.7794369459152222"
"22","234","234","234","0.7816004157066345","0.7816004157066345","0.7816004157066345"
"23","306","246","368","0.7774878740310669","0.7774878740310669","0.7774878740310669"
"24","314","254","376","0.7766427993774414","0.7766427993774414","0.7766427993774414"
"25","322","262","384","0.7738702297210693","0.7738702297210693","0.7738702297210693"
"26","330","270","392","0.7734718322753906","0.7734718322753906","0.7734718322753906"
"27","338","278","400","0.775229811668396","0.775229811668396","0.775229811668396"
"28","346","286","408","0.7835309505462646","0.7835309505462646","0.7835309505462646"
"29","354","294","416","0.7873575687408447","0.7873575687408447","0.7873575687408447"
"30","393","360","426","0.7837931513786316","0.7715027332305908","0.7960835695266724"
"31","434","434","434","0.7785111665725708","0.7785111665725708","0.7785111665725708"
"32","442","442","442","0.7793426513671875","0.7793426513671875","0.7793426513671875"
"33","450","450","450","0.7757166028022766","0.7757166028022766","0.7757166028022766"
"34","458","458","458","0.7771756649017334","0.7771756649017334","0.7771756649017334"
"35","466","466","466","0.7798258066177368","0.7798258066177368","0.7798258066177368"
"36","474","474","474","0.7824341654777527","0.7824341654777527","0.7824341654777527"
"37","484","484","484","0.7791223526000977","0.7791223526000977","0.7791223526000977"
"38","492","492","492","0.7778958082199097","0.7778958082199097","0.7778958082199097"
"39","500","500","500","0.7828086018562317","0.7828086018562317","0.7828086018562317"
"40","508","508","508","0.780035138130188","0.780035138130188","0.780035138130188"
"41","516","516","516","0.7796579599380493","0.7796579599380493","0.7796579599380493"
"42","524","524","524","0.7856059074401855","0.7856059074401855","0.7856059074401855"
"43","532","532","532","0.7828332185745239","0.7828332185745239","0.7828332185745239"
"44","544","544","544","0.774993896484375","0.774993896484375","0.774993896484375"
"45","552","552","552","0.7805576324462891","0.7805576324462891","0.7805576324462891"
"46","560","560","560","0.7819817066192627","0.7819817066192627","0.7819817066192627"
"47","568","568","568","0.7756109237670898","0.7756109237670898","0.7756109237670898"
"48","576","576","576","0.7707858085632324","0.7707858085632324","0.7707858085632324"
"49","584","584","584","0.7848879098892212","0.7848879098892212","0.7848879098892212"
"50","592","592","592","0.781869649887085","0.781869649887085","0.781869649887085"
"51","604","604","604","0.7752096652984619","0.7752096652984619","0.7752096652984619"
"52","612","612","612","0.7722364068031311","0.7722364068031311","0.7722364068031311"
"53","620","620","620","0.7774712443351746","0.7774712443351746","0.7774712443351746"
